"months_as_customer","age","policy_number","policy_bind_date","policy_state","policy_csl","policy_deductable","policy_annual_premium","umbrella_limit","insured_zip","insured_sex","insured_education_level","insured_occupation","insured_hobbies","insured_relationship","capital-gains","capital-loss","incident_date","incident_type","collision_type","incident_severity","authorities_contacted","incident_state","incident_city","incident_location","incident_hour_of_the_day","number_of_vehicles_involved","property_damage","bodily_injuries","witnesses","police_report_available","total_claim_amount","injury_claim","property_claim","vehicle_claim","auto_make","auto_model","auto_year"
"328","48","521585","10/17/2014","OH","250/500","1000","1406.91","0","466132","MALE","MD","craft-repair","sleeping","husband","53300","0","1/25/2015","Single Vehicle Collision","Side Collision","Major Damage","Police","SC","Columbus","9935 4th Drive","5","1","YES","1","2","YES","71610","6510","13020","52080","Saab","92x","2004"
"228","42","342868","6/27/2006","IN","250/500","2000","1197.22","5000000","468176","MALE","MD","machine-op-inspct","reading","other-relative","0","0","1/21/2015","Vehicle Theft","?","Minor Damage","Police","VA","Riverwood","6608 MLK Hwy","8","1","?","0","0","?","5070","780","780","3510","Mercedes","E400","2007"
"134","29","687698","9/6/2000","OH","100/300","2000","1413.14","5000000","430632","FEMALE","PhD","sales","board-games","own-child","35100","0","2/22/2015","Multi-vehicle Collision","Rear Collision","Minor Damage","Police","NY","Columbus","7121 Francis Lane","7","3","NO","2","3","NO","34650","7700","3850","23100","Dodge","RAM","2007"
"256","41","227811","5/25/1990","IL","250/500","2000","1415.74","6000000","608117","FEMALE","PhD","armed-forces","board-games","unmarried","48900","-62400","1/10/2015","Single Vehicle Collision","Front Collision","Major Damage","Police","OH","Arlington","6956 Maple Drive","5","1","?","1","2","NO","63400","6340","6340","50720","Chevrolet","Tahoe","2014"
"228","44","367455","6/6/2014","IL","500/1000","1000","1583.91","6000000","610706","MALE","Associate","sales","board-games","unmarried","66000","-46000","2/17/2015","Vehicle Theft","?","Minor Damage","None","NY","Arlington","3041 3rd Ave","20","1","NO","0","1","NO","6500","1300","650","4550","Accura","RSX","2009"
"256","39","104594","10/12/2006","OH","250/500","1000","1351.1","0","478456","FEMALE","PhD","tech-support","bungie-jumping","unmarried","0","0","1/2/2015","Multi-vehicle Collision","Rear Collision","Major Damage","Fire","SC","Arlington","8973 Washington St","19","3","NO","0","2","NO","64100","6410","6410","51280","Saab","95","2003"
"137","34","413978","6/4/2000","IN","250/500","1000","1333.35","0","441716","MALE","PhD","prof-specialty","board-games","husband","0","-77000","1/13/2015","Multi-vehicle Collision","Front Collision","Minor Damage","Police","NY","Springfield","5846 Weaver Drive","0","3","?","0","0","?","78650","21450","7150","50050","Nissan","Pathfinder","2012"
"165","37","429027","2/3/1990","IL","100/300","1000","1137.03","0","603195","MALE","Associate","tech-support","base-jumping","unmarried","0","0","2/27/2015","Multi-vehicle Collision","Front Collision","Total Loss","Police","VA","Columbus","3525 3rd Hwy","23","3","?","2","2","YES","51590","9380","9380","32830","Audi","A5","2015"
"27","33","485665","2/5/1997","IL","100/300","500","1442.99","0","601734","FEMALE","PhD","other-service","golf","own-child","0","0","1/30/2015","Single Vehicle Collision","Front Collision","Total Loss","Police","WV","Arlington","4872 Rock Ridge","21","1","NO","1","1","YES","27700","2770","2770","22160","Toyota","Camry","2012"
"212","42","636550","7/25/2011","IL","100/300","500","1315.68","0","600983","MALE","PhD","priv-house-serv","camping","wife","0","-39300","1/5/2015","Single Vehicle Collision","Rear Collision","Total Loss","Other","NC","Hillsdale","3066 Francis Ave","14","1","NO","2","1","?","42300","4700","4700","32900","Saab","92x","1996"
"235","42","543610","5/26/2002","OH","100/300","500","1253.12","4000000","462283","FEMALE","Masters","exec-managerial","dancing","other-relative","38400","0","1/6/2015","Single Vehicle Collision","Front Collision","Total Loss","Police","NY","Northbend","1558 1st Ridge","22","1","YES","2","2","?","87010","7910","15820","63280","Ford","F150","2002"
"447","61","214618","5/29/1999","OH","100/300","2000","1137.16","0","615561","FEMALE","High School","exec-managerial","skydiving","other-relative","0","-51000","2/15/2015","Multi-vehicle Collision","Front Collision","Major Damage","Fire","SC","Springfield","5971 5th Hwy","21","3","YES","1","2","YES","114920","17680","17680","79560","Audi","A3","2006"
"60","23","842643","11/20/1997","OH","500/1000","500","1215.36","3000000","432220","MALE","MD","protective-serv","reading","wife","0","0","1/22/2015","Single Vehicle Collision","Rear Collision","Total Loss","Ambulance","SC","Northbend","6655 5th Drive","9","1","YES","1","0","NO","56520","4710","9420","42390","Saab","95","2000"
"121","34","626808","10/26/2012","OH","100/300","1000","936.61","0","464652","FEMALE","MD","armed-forces","bungie-jumping","wife","52800","-32800","1/8/2015","Parked Car","?","Minor Damage","None","SC","Springfield","6582 Elm Lane","5","1","NO","1","1","NO","7280","1120","1120","5040","Toyota","Highlander","2010"
"180","38","644081","12/28/1998","OH","250/500","2000","1301.13","0","476685","FEMALE","College","machine-op-inspct","board-games","not-in-family","41300","-55500","1/15/2015","Single Vehicle Collision","Rear Collision","Total Loss","Police","SC","Springfield","6851 3rd Drive","12","1","NO","0","2","YES","46200","4200","8400","33600","Dodge","Neon","2003"
"473","58","892874","10/19/1992","IN","100/300","2000","1131.4","0","458733","FEMALE","MD","transport-moving","movies","other-relative","55700","0","1/29/2015","Multi-vehicle Collision","Side Collision","Major Damage","Other","WV","Hillsdale","9573 Weaver Ave","12","4","YES","0","0","NO","63120","10520","10520","42080","Accura","MDX","1999"
"70","26","558938","6/8/2005","OH","500/1000","1000","1199.44","5000000","619884","MALE","College","machine-op-inspct","hiking","own-child","63600","0","2/22/2015","Multi-vehicle Collision","Rear Collision","Major Damage","Other","NY","Riverwood","5074 3rd St","0","3","?","1","2","YES","52110","5790","5790","40530","Nissan","Maxima","2012"
"140","31","275265","11/15/2004","IN","500/1000","500","708.64","6000000","470610","MALE","High School","machine-op-inspct","reading","unmarried","53500","0","1/6/2015","Single Vehicle Collision","Side Collision","Total Loss","Police","WV","Northbend","4546 Tree St","9","1","NO","0","2","YES","77880","14160","7080","56640","Suburu","Legacy","2015"
"160","37","921202","12/28/2014","OH","500/1000","500","1374.22","0","472135","FEMALE","MD","craft-repair","yachting","other-relative","45500","-37800","1/19/2015","Single Vehicle Collision","Side Collision","Total Loss","Other","NY","Northbrook","3842 Solo Ridge","19","1","YES","1","0","NO","72930","6630","13260","53040","Accura","TL","2015"
"196","39","143972","8/2/1992","IN","500/1000","2000","1475.73","0","477670","FEMALE","High School","handlers-cleaners","camping","own-child","57000","-27300","2/22/2015","Multi-vehicle Collision","Side Collision","Major Damage","Police","VA","Columbus","8101 3rd Ridge","8","3","?","2","0","NO","60400","6040","6040","48320","Nissan","Pathfinder","2014"
"460","62","183430","6/25/2002","IN","250/500","1000","1187.96","4000000","618845","MALE","JD","other-service","bungie-jumping","own-child","0","0","1/1/2015","Multi-vehicle Collision","Rear Collision","Minor Damage","Police","NY","Columbus","5380 Pine St","20","3","NO","1","0","?","47160","0","5240","41920","Suburu","Impreza","2011"
"217","41","431876","11/27/2005","IL","500/1000","2000","875.15","0","442479","FEMALE","Associate","machine-op-inspct","skydiving","own-child","46700","0","2/10/2015","Multi-vehicle Collision","Side Collision","Total Loss","Police","SC","Arlington","8957 Weaver Drive","15","3","?","1","2","?","37840","0","4730","33110","Accura","RSX","1996"
"370","55","285496","5/27/1994","IL","100/300","2000","972.18","0","443920","MALE","High School","prof-specialty","paintball","other-relative","72700","-68200","1/11/2015","Multi-vehicle Collision","Rear Collision","Major Damage","Ambulance","SC","Hillsdale","2526 Embaracadero Ave","20","3","NO","0","0","YES","71520","17880","5960","47680","Suburu","Forrestor","2000"
"413","55","115399","2/8/1991","IN","100/300","2000","1268.79","0","453148","MALE","MD","priv-house-serv","chess","own-child","0","-31000","1/19/2015","Single Vehicle Collision","Front Collision","Total Loss","Ambulance","WV","Northbend","5667 4th Drive","15","1","?","2","2","?","98160","8180","16360","73620","Dodge","RAM","2011"
"237","40","736882","2/2/1996","IN","100/300","1000","883.31","0","434733","MALE","College","craft-repair","kayaking","husband","0","-53500","2/24/2015","Single Vehicle Collision","Rear Collision","Minor Damage","Other","VA","Riverwood","2502 Apache Hwy","6","1","NO","1","3","NO","77880","7080","14160","56640","Ford","Escape","2005"
"8","35","699044","12/5/2013","OH","100/300","2000","1266.92","0","613982","MALE","Masters","sales","polo","own-child","0","0","1/9/2015","Multi-vehicle Collision","Rear Collision","Major Damage","Other","OH","Arlington","3418 Texas Lane","16","3","NO","1","3","YES","71500","16500","11000","44000","Ford","Escape","2006"
"257","43","863236","9/20/1990","IN","100/300","2000","1322.1","0","436984","MALE","High School","prof-specialty","golf","own-child","0","-29200","1/28/2015","Parked Car","?","Minor Damage","Police","PA","Arlington","2533 Elm St","4","1","YES","1","3","YES","9020","1640","820","6560","Toyota","Camry","2005"
